place_id,name,name_my,category,category_my,house_number,house_number_my,full_address,full_address_my,township,township_my,district,district_my,sub_region,sub_region_my,postal_code,lat,lon,phone,rating,review_count,website,city,embed_text
834,Perfect Floor,ပါဖက်ဖလိုးလ်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.828266,96.209887,,4.4,112,,Yangon,Name: Perfect Floor (ပါဖက်ဖလိုးလ်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
505,Phan Zin,Phan Zin,Store,စျေးနှင့် ကုန်စုံဆိုင်,,,"Supaing Ward (TGGN), Thingangyun","Supaing Ward (TGGN), Thingangyun",Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.8155,96.1918,,4.5,325,,Yangon,"Name: Phan Zin. Category: Store. Address: Supaing Ward (TGGN), Thingangyun. Township: Thingangyun. District: Yangon East"
879,Phoe La Min,ဖိုးလမင်း,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.825402,96.186223,,4.9,247,,Yangon,Name: Phoe La Min (ဖိုးလမင်း). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1431,Phoe Thar,ဖိုးသား,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.829822,96.207804,,4.1,103,,Yangon,Name: Phoe Thar (ဖိုးသား). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
506,Phone Exchange,တယ်လီဖုန်းအိတ်ချိန်းရုံး,Government Office,ရုံးခန်းနှင့် လူနေအိမ်ရာ,,,"16\4 Ward (TGGN), Thingangyun","16\4 Ward (TGGN), Thingangyun",Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.8326,96.1871,,4.6,328,,Yangon,"Name: Phone Exchange (တယ်လီဖုန်းအိတ်ချိန်းရုံး). Category: Government Office. Address: 16\4 Ward (TGGN), Thingangyun. Township: Thingangyun. District: Yangon East"
1043,Phone Min Thar,ဖုန်းမင်းသား,Repair Facility,ပြုပြင်ရေးလုပ်ငန်း,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.84167,96.201127,,4.3,139,,Yangon,Name: Phone Min Thar (ဖုန်းမင်းသား). Category: Repair Facility. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1764,Phooe Pyae Mon,ဖူးပြည့်မွန်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.84211,96.200632,,4.4,502,,Yangon,Name: Phooe Pyae Mon (ဖူးပြည့်မွန်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1432,PhooeThit,ဖူးသစ်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.842096,96.203143,,4.2,106,,Yangon,Name: PhooeThit (ဖူးသစ်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
750,Phu Pwint San,ဖူးပွင့်စံ,Company,ရုံးခန်းနှင့် လူနေအိမ်ရာ,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.829309,96.212685,,4,460,,Yangon,Name: Phu Pwint San (ဖူးပွင့်စံ). Category: Company. Address: Thingangyun. Township: Thingangyun. District: Yangon East
1765,Phuu Pwint Myaing,ဖူးပွင့်မြိုင်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.843337,96.201913,,4.5,505,,Yangon,Name: Phuu Pwint Myaing (ဖူးပွင့်မြိုင်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
815,Phyo,ဖြိုး,Rice Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.839115,96.201951,,4.5,55,,Yangon,Name: Phyo (ဖြိုး). Category: Rice Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
209,Phyo,ဖြိုး,Rice Shop,အထွေထွေအမျိုးအစား,48,48,"48 Lay Daung Kan Road, Lay Daunkan Ward, Thingangyun, Yangon","၄၈, လေးထောင့်ကန်လမ်း, လေးဒေါင့်ကန်ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.83907,96.201747,,4.9,37,,Yangon,"Name: Phyo (ဖြိုး). Category: Rice Shop. House Number: 48. Address: ၄၈, လေးထောင့်ကန်လမ်း, လေးဒေါင့်ကန်ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
1106,Phyo Aye,ဖြိုးအေး,Hospital/Polyclinic,ဆေးရုံနှင့် ဆေးခန်း,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.840751,96.202641,,4.6,328,,Yangon,Name: Phyo Aye (ဖြိုးအေး). Category: Hospital/Polyclinic. Address: Thingangyun. Township: Thingangyun. District: Yangon East
211,Phyo Thisar,ဖြိုးသစ္စာ,Pawn Shop,ဘဏ်နှင့် ငွေကြေးဝန်ဆောင်မှု,72,72,"72 Lay Daung Kan Road, Lay Daunkan Ward, Thingangyun, Yangon","၇၂, လေးထောင့်ကန်လမ်း, လေးဒေါင့်ကန်ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.837701,96.200335,,4.1,43,,Yangon,"Name: Phyo Thisar (ဖြိုးသစ္စာ). Category: Pawn Shop. House Number: 72. Address: ၇၂, လေးထောင့်ကန်လမ်း, လေးဒေါင့်ကန်ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
210,Phyo Thisar,ဖြိုးသစ္စာ,Jewelry & Gold,အထွေထွေအမျိုးအစား,73,73,"73 Lay Daung Kan Road, Lay Daunkan Ward, Thingangyun, Yangon","၇၃, လေးထောင့်ကန်လမ်း, လေးဒေါင့်ကန်ရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.837674,96.2003,,4,40,,Yangon,"Name: Phyo Thisar (ဖြိုးသစ္စာ). Category: Jewelry & Gold. House Number: 73. Address: ၇၃, လေးထောင့်ကန်လမ်း, လေးဒေါင့်ကန်ရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
880,Phyu Phyu Khine,ဖြူဖြူခိုင်,Shop,အထွေထွေအမျိုးအစား,,,Thingangyun,Thingangyun,Thingangyun,,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,,16.822904,96.209471,,4,250,,Yangon,Name: Phyu Phyu Khine (ဖြူဖြူခိုင်). Category: Shop. Address: Thingangyun. Township: Thingangyun. District: Yangon East
311,Piccolo,ပိကိုလို,Fruniture Sale,အထွေထွေအမျိုးအစား,5,5,"5 Than Thu Mar Road, Supaing Ward, Thingangyun, Yangon","၅, သံသုမာလမ်း, စုပေါင်းရပ်ကွက်, သင်္ဃန်းကျွန်း",Thingangyun,သင်္ဃန်းကျွန်း,Yangon East,ရန်ကုန်အရှေ့ပိုင်း,Yangon,ရန်ကုန်,11431.0,16.818128,96.197419,,4.1,343,,Yangon,"Name: Piccolo (ပိကိုလို). Category: Fruniture Sale. House Number: 5. Address: ၅, သံသုမာလမ်း, စုပေါင်းရပ်ကွက်, သင်္ဃန်းကျွန်း. Township: Thingangyun. District: Yangon East"
